userName,rawContent,status,kelas
DJ Duwi A. L. X. DJ Duwi A. L. X.,Lumayan baik sih walaupun kurang sempurna secara ke seluruhan mohon di perbaiki lgi oke,4,Positif
Adi Wardana,bagus & Sangat Membangu,5,Positif
siti Mariyam 123,"Sangat membantu & melindungi , kena jadi tau nomer penipu",5,Positif
ivan mannaga,"Bagus, sebagian besar kalau ada telpon masuk bisa langsung tahu #nya itu apa, tapi kadang juga tidak muncul",4,Positif
Acad Imron Rosyadi,Terima kasih info yg bermanfaat,4,Positif
Alfi Muhammad Sauqi,mantap si berguna banget,5,Positif
Endah Martina,Gak bisa log in. Kesalahan server internal,1,Negatif
Salsa Bila,Sangat cocok untuk melihat pacar selingkuh atau tidak,5,Positif
Neta Kld,Ini sangat amat berguna untuk saya yang kepoan,5,Positif
Radina kakaria,Lebih bagus di pakai,5,Positif
Ahmad Nasuha,Aplikasih getkontak sangat bagus bisa melihat nama di wtsaap,5,Positif
Syams Q,"Saya kecewa, karena banyak orang bisa hide status, tidak bisa dicek.",1,Negatif
Algio Rajaya,"Sangat membantu sekali, apalagi dalam kita menjalani usaha",5,Positif
Hasyim Noor,Cukup membantu menemukan kira kira seperti apa orang yang kita cari,4,Positif
Riskily hafizhsyah Ritonga,Aplikasi anda sangat bagus👍👍👍😁,5,Positif
Efendi,"Terima kasih, tolong iklan dikurangi",5,Positif
Muhamad ikhsan Nursyamsy,Baru aja buka udah banyak kendala gimana sih,1,Negatif
Kinar Arya,"Dengan ada nya aplikasi getcontact sangat""membantu pa lgi kl ada nomer yang tdk jelas,,,tanks getcontact👌🥰",5,Positif
Queen ghaisani Qibthya,Fitur sangan bagua,5,Positif
Linda Darwati,Bikin malaaasss skrg aplikasi ini..👎👎👎👎👎👎,1,Negatif
Irsyana Nadin,"Bagaimana ini kok bisa aplikasi ny jdi rusak,,dlu g ada iklan a taupun patah² walaw pun hp sya IP tetap patah²?? Apakah itu adil ,,maapin saya saya memberikan rating 1 karna saya sangat kecewa dgn aplikasi ny🙏mohon tuk di perbaiki",1,Negatif
Cak Toro,saya pingin melihat nomer orang untuk tingkat kepercayaan nya..tapi kok di suruh bayar ya.. terus apa gunanya aplikasi ini kalo tetap saya tidak tahu tingkat kepercayaan orang yang mau berhubungan dengan saya..,1,Negatif
Elsa Salwa,Banyak yang kasih bintang 1 . Emang mengecewakan sih .. harus berlangganan dulu .. mending fb.ig.w.a langsunh pake paket data . Kalo kayak gini yakin banget ratting turun dan semoga ada aplikasi lain yg bisa cek nomor tanpa berlangganan bulanan yg bikin ribet .,1,Negatif
Assraf Razak,Tidak ramah bintang satu apk bnyk iklan gak bisa masuk malah kluar truss bingung makin update makin kurang bagus .....,1,Negatif
adi surya,"Pulsa kepotong 36.000 tanpa pemberitahuan, harusnya konfirmasi dulu mau dilanjut langganan apa gak , sudah terlanjur premium kesedot pulsa eh dibatasi ga bisa liat seluruh kontak , cuma bsa liat siapa yg liat kontak saya",1,Negatif
Tintus kompax,Kenapa tidak bisa registrasi padahal sudah mengikuti instruksinya. Di suruh nunggu telefon tapi tidak pernah ada tlp masuk. 2x download tp semua sama saja,1,Negatif
Dinda Febriana,Aplikasi ini sangat bagusss,1,Negatif
Sarmi Rahayu,Mantap bgt bisa tau nomor penipu,5,Positif
Nur Hasanah,"Dikira tidak berbayar, nyatanya berbayar. Tidak sesuai dengan aspektasi saya. Dan juga tidak bisa melacak no handphone dari luar negeri. Mengecewakan",1,Negatif
Ruben Siahaan,"Sangat membantu saat ada yg menelpon tetapi yg tertera nomer bukan nama, atau dengan kata lain nomer tersebut belum disave.",5,Positif
arya stark,Aplikasi yang bagus!,5,Positif
Tita Kani,thanks ya Getcontact.. gw akhirnya tahu identitas selingkuhan pasangan gw .. 😅,5,Positif
YThmmd official,Aplikasi nya oke mantap,5,Positif
Dodi Solihudin,"Sangat membantu, walupun kadang bertanya tanya ko bisa dapetin data nya 😁",5,Positif
Dewi Masithoh_PoltekMG,Saya daftar gagal terus,1,Negatif
Rudi Surya,Amplikasi yang mempunyai prestasi dan manfaat,5,Positif
Sevina Hany,susah bgt anjr mau log in aja.,1,Negatif
ARRAFFY ABBYU ARRASYID,"Kacau apk nya , ga bisa login masa",1,Negatif
Hidya Nur,Kenapa ya kode verifikasi nya ga ada,1,Negatif
Cahya Devita,"Apk ini sngat mengecewakan, stlh update apknya sngt jelek.. Trllu byk iklan",1,Negatif
Nur Azizah,apkny mmbntu tp knp dibatasi dan jika sudah habis batasannya disuruh bayar,4,Positif
Rahmat Genda,Mantap sangat membantu,5,Positif
Selangkang Indah,Tolong berentikan langganan premium min . .enak aja main potong otomatis gajelas,1,Negatif
Enis Nada keanisa arimbi,Bagus tapi sayang tidak bisa melihat yang namain siapa,5,Positif
sri delviana,Lumayan membantu utk mengetahui kontak yg tdk tersimpan di hp,5,Positif
Pince Sirait,Sangat membantu untuk melihat nomor2 yg tidak jelas. Tapi sekarang dikenakan tarif🧐🧐😔,4,Positif
malika shofiatuladhwa,Aplikasi nya sangat bagus,5,Positif
Cindy Kasih,Yampun parah banget udh bener no telpon nya malah ga di telfon² sampe udh validasi banyak bgt gimana sih mau login aja gabisa benerin lah,1,Negatif
Jam_iin leri,Mantaf dah ... cukup membantu - cuman kuota gratisnya dikit 🤭😅,4,Positif
Erwina Wina,"Karena saya baru aja pakai aplikasi ini jadi saya 4 dulu ya,makasih getcontact berkat aplikasi ini saya tau nama saya dikontak hp saya",4,Positif
Anto Vivo,Padahal kontak saya banyak tapi yang muncul gak sampe belasan tolong di perbaiki lagi soalnya saya ngechat ketemen saya save nomor aku apa tidak ada di getcontact 🙏,2,Negatif
dewi Andarini,Kenapa harus berbayar? Cumn mau liat penanda pada nomer orng dong tuh baru download udh gini aja biasa nya di aplikasi lain tuh 1bulan atau ga lebih lah ini apaan baru di pke 1 hari udh gini aja ga jelas bgt aplikasi nya,1,Negatif
Ramagilang Gilang,Bagus bisa lihat nama orang orang,4,Positif
Hanifah Rafa'Muthi,Lumayanbaguss💅🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻bintang yang berbicara,5,Positif
Najwa Adzhanic,"Ini kenapa mau login aja sulittttnyaaaa minta ampun, why????",2,Negatif
Djibriel ciesse,Berguna untuk cek nomer tidak di kenal.. Klo ada yg telpon tidak dikenal jangan angkat telpon.. Simpan nama nomer tersebut lalu cek di getcontact.. Agar terlihat siapa orang tersebut bisa jadi penipuan dan bisa jadi jasa pinjol yg mengatasnamakan kita.. Makasih getcontact,5,Positif
Abdul Akim,"Sangat membatu, tolong tingkat lagi ya aplikasinya",5,Positif
hariyanto st,Sangat membantu mengenali nomer2 spam n penipuan 👍,5,Positif
Dwi rukmini,Saya suka Krn tau siapa yg TLP kita wlpun pake no baru,5,Positif
Teacher Hanif,Sangat membantu untuk mengetahui nama kontak penelepon yang belum tersimpan,5,Positif
Adi Budiawan,sangat membantu deteksi nomor,5,Positif
ziqy Saputraa,Setelah di update malah gabener aplikasinya gabisa buay verifikasi pakek nomor,1,Negatif
Resty 88,"Saya rubah ulasan. Karena ANEH. Jadi gak Bagus, sudah pakai premium, yang biasanya sudah include Biaya diLangganan Paketdatanya,sekarang kalo mau lihat nmr Malah kena Biaya Lagi, pembayaran ke paypalLah.. biasanya juga tarif langganan sudah otomatis , habis di upgrade APKnya malah Gak guna. Jadi kalah sama truecaller kok?!!! Kecewa",1,Negatif
zaskia saskia,apknya bagus cepet saat pencarian kontak,4,Positif
Android Dev,Aplikasi mencurigakan...dari mana dia bisa melacak data kontak??..pasti karena ia telah menyimpan data kontak dari seluruh penggunanya di database mereka... Hati2 terhadap pencurian data....,1,Negatif
Herry Lotto,Ga bagus lgsg uninstall....,1,Negatif
Yeni Arlis,Sangat membantu sekali,5,Positif
risdian ilham,Gate contact saat ini sudah tidak sebaik dulu dan aplikasi ini sudah tidak rekomendasi.,1,Negatif
Nur Rahma,sumpah ga jelas bngt ini apk nya padahal aku punya paketan loh kok muncul kuota internet diperlukan terus tiba2 kembali ke beranda sumpaahhhh terus ini make nyaa gimana woyyyy tolong jelasinnn,1,Negatif
Ciha Cihuy,Mnrt aku si gtc bagus tapi knp harus berbayar?? Jadi yaa kurang mnrik aja klo bayar,5,Positif
Adriana Evellyn Bofe,rasa puas klo sdh tahu aplikasih ini krn saya bs tahu pasangan suami saya hpnya di tangan sp,5,Positif
Fredy Agung,"Aplikasi get contac kontolll mau minta kode verifikasi aja susah bener, sudah bener dpt panggilan kapan di angkat mau denger kode verifikasi malah matii sendiri apasih kontoll",1,Negatif
Indra,"Aplikasinya bagus.,! 👏",5,Positif
Adam Syah,"Mantap kita dapat mengetahui, yg kita tidak ketahui.",5,Positif
Joko Santoso,App.ini cukup bermanfaat untuk ngechek no.tlp.tak dikenal dan antisipasi penipuan.,5,Positif
Evi Sulistianingrum,Tag yang terbaru engga ada,4,Positif
bella amelia,"get contact tolol, masa mau login gabisa terus sampe bolak balik tak hapus download hapus download",1,Negatif
Surya Pro,saya mencuba dulu jika aplikasi ini bagus dan membantu saya akan menambah bintang lagi,4,Positif
NightLigth,"Mungkin menurut orang² jelek tapi bagiku bagus, cuma harus ada pembelian dalam aplikasi",4,Positif
Muhamad Icuk Kuswanto,"saya kurangi bintangnya, setelah update ndak bisa d buka",1,Negatif
Martinus Tinus,Sangat membantu.. terimakasih getcontact,5,Positif
Haidar Thalib,Lumayan lah jadi tau siapa yg kasih nama aku dan ngasih namanya apa,5,Positif
maya dhaniel,Banyak membantu mengenali nomor fake,4,Positif
Ahmad Faiz Faiz,Mantab nh aplikasi...thanks ya,5,Positif
Heri Ijal,Kalo bisa jangan ada yg berbayar,5,Positif
Erwin Erwin,Bagus banget ini apk,5,Positif
Haidar Amin,"Wow, aplikasi yang luar biasa... kita bisa tahu nama kontak dari nomor yang tidak dikenal 🤩",5,Positif
Aprilino Panca Wicaksono,aplikasi nya kurang baik dan gak jelas,1,Negatif
Syahriani Siregar,"Aplikasi yang sungguh suuunggguuuuh rumitt dan aplikasi matre selalu minta berbayar, pdhl fitur nya biasa"" aj sih, cuma bisa ngeliat nama kita doang tapi gk tw siapa yg nyimpen, nyeseeeel bingitth",1,Negatif
Yudi Guntara,Untuk saat ini semuanya terlihat bagus.,4,Positif
deni danau arta,"Apk ini memang membantu tapi sayangnya saya tidak bisa melihat secara keseluruhan nama"" saya d kontak orang"" terlebih lagi kontak pacar saya, di karena kan harus premium untuk bisa melihat keseluruhan saya rasa kecewa, bagaimana nantinya jika orang yang di sayangi memiliki orang lain, saya harap berikan keringanan untuk bisa melihat secara keseluruhan",2,Negatif
Faiz Fadhillah,Get contacts sekarang harus bayar huh mata duitan untuk membantu malah dijadikan uang apa lah,1,Negatif
Annisa Wulan,"Bagus sii, tapi kok jumlah nya g sesuai sama jumlah kontak ya?",5,Positif
yati supriyati,Getcontact sangat bagus,5,Positif
D a f a,"Makin update makin aneh,gabisa login",1,Negatif
Rias Yayang,Sangat membantu kami dlm pencarian,5,Positif
Chen Chui Jau,Bisa tau mana telp yang spam dll..,5,Positif
Jaen Holland,Sangat bagus dan sangat membantu,5,Positif
Rela Setiawati,Aplikasi yang sangat membantu,5,Positif
Iwan A,"applikasi yg sangat 👎. saya telah membeli paket premium akan tetapi mau mencari kontak, diminta lagi pembayaran paket. jangan pernah download applikasi ini. hanya membuat pengeluaran nyang tidak bermanfaat. hanya membuang uang",1,Negatif
Rohman 910,sangat membantu dari oknum penipuan,5,Positif
Meylisa Imran,"berkat apk ini, jadi aman dari modus penipuan",5,Positif
Along J5,Bagus sekali internet ini ♡♡,5,Positif
Andri Firman Saputra,"Salah nomor telepon, tidak dapat mengganti nomor telepon",1,Negatif
Muhammad Rohman,"Aplikasi apaan ni , ga bisa verifikasi padahal no udah bener",1,Negatif
Rizal Alex,"Apk apaan ni, kok gak bisa login, parah",1,Negatif
RyCanRozz Channel,Bagus... biar tau maa orang bener mana penipud,5,Positif
Radial Falah,Sangat membantu klo kontak ga ada didaftar telp 👍,5,Positif
Ibnu Hari W,"Ini kok saya ga bisa login ya ? Sebelumnya bisa, kenapa sekarang ga bisa login ? Tolong diperbaiki ya, sementara saya kasih bintang 1",1,Negatif
Darti Wigati,Bagus. Sangat membantu. Apalagi kalau ada no baru tiba-tiba ngehubungi,5,Positif
galuh cempaka,Bgs bgttt tpi gk bisa mencet nama² ny,4,Positif
Azziqra Ziqra,Yah gara gara aplikasi ini saya tau bahwa my crus saya sudah memiliki pacar hahaha bodoh sekali karena menyukai nya,5,Positif
Hadi nur Rozak,Ada apa dengan getcontact saya sudah tidak bermain getcontact selama beberapa bulan namun tiba tiba pembayaran premium ada apa dana saya jadi berkurang gara gara getcontact Pembayaran secara tiba-tiba tidak ada notifikasi langsung berkurang lawak bener saya ingin pengembalian dana saya,1,Negatif
Dewi Berliani,"Sangat membantu karena aku kepoan, walau ovt wkwk",5,Positif
Erni Mardi77,Dapat melacak no hp yg tdk dikenal,5,Positif
Mas fakee,bagus banget jadi tau semuq nomer2 tersimoan,4,Positif
Chiko Falcon,Ga ada panggilan ketika memanggil untuk verifikasi,1,Negatif
Syafei Muhammad,Sangat keren bisa tau orang dari sini,5,Positif
Azzahra Zahra,"bgs bgt buat tau kalo cowo saya ngesave no saya apa,soalnya takut di save pacar ke 10",5,Positif
Sikom Harmaji,Get contact ga ada niatan ditunjukin juga siapa yg nge sv kita pake nama itu? Kadang ak jg kepo siapa yg nge sv,4,Positif
veo naoqi,sangat membantu untuk transaksi online,5,Positif
Ayu Masithoh,Cara berhenti berlangganan nya gmna ya ?,1,Negatif
Heryanto lie,Bagus banyak kegunaannya tpai sayang berbayar,5,Positif
Reta Marantika,parah si tagarnya gabisa muncul nama. percuma download ini apk. udah di laporin tetep gabisa muncul,1,Negatif
NAUFAL ADITYA,sangat bagus sering update terus,5,Positif
Lisma Saysay,Sangat membantu SKL melacak no org yg kadang suka iseng,5,Positif
Ownergoblok Nih,"Apk nya bagus bisa liat selingkuhan pasangan kita dari apk ini, pkonya joss dah yang blm download silahkan di download bgus loh apk nya",4,Positif
Puri Indah Pratiwi,apaansih kecewa bgt gua ga mau ngasi bintang tp gua mau komen ini ga bisa log in anjr?!,1,Negatif
Asman Bone,pertahankan kualitas nya,5,Positif
Agus Radaribetz,"Oke, yg free nya ditambah fiturnya sih",5,Positif
Panglima Kumbang999,cuman ada nama y doqng gak bisa di liat nomor nya,4,Positif
Hildah Hidayah,Kok gbs login lewat google mn dh nyoba berkali-kali ttp gbs lagi,1,Negatif
richter riadi,aplikasi ini membantu banget👍,5,Positif
Nyaimat71 Nyaimat71nyai,Kenapa setelah menginstal cara masuknya harus pakai email kenapa gk langsung numbt telfon dan juga jangan sering dipersulit,1,Negatif
Ari Tonang,Aku kasi bintang nya dua aja yaa Soalnya pas di buka eeh malah keluar lagi dan aku masuk lagi tuhh ke aplikasi nyaa malah ngk bisa di buka sekarang. Jadi pesan aku itu tolong di perbaiki lagi yaa cuma ngingetin ajaaa🙏🏻.,2,Negatif
Bonek Mania,"Sekarang gk bisa daftar melalui nomer telfon . Selalu di arahkan di email dan verifikasi hanya di arahkan ke wa itu saja, jadi gk bisa login ke nomer lain.",1,Negatif
Malta,Mau test premium gratis 30hari tp pembayaran via google play d tolak 🤦,2,Negatif
Endro Cahyo,"Bagus, jadi tahu para penelepon tak dikenal",5,Positif
Sewa SMM PANEL,semenjak adanya getcontact saya dibilang penipu karena nama saya tidak sesuai di getcontact,1,Negatif
Teddy Andrianto,Jadi tau siapa yg telp walau blm save nomernya,5,Positif
yoyok supriyanto,pakai minimal untuk mencari,2,Negatif
Fardani Susanto,Aplikasi yg sangat informatif terkait nomor2 telp yg tidak dikenal jadi bisa lebih berhati-hati terhadap panggilan telp.. Sangat suka dgn aplikasi ini. 👍👍,5,Positif
Bambang Edi Sutrisno,Tidak bisa memblokir panggilan masuk,1,Negatif
muhammad djagad,"Aplikasi ini cukup tidak berguna banget malahan,karna ini mengganggu privasi orang tau gak ganggu banget",1,Negatif
Delapan,"Knp di akun getcontac saya tiba² ada tulisan premium ya? Padahal saya merasa tidak pernah berlangganan premium, pas saya cek di akun google saya juga tidak ada langganan premium, tolong hapus premium dari akun saya ya, karna saya merasa tidak pernah berlangganan",1,Negatif
Fitriyanti Nuayi,Cara hapus tag bgmn sihh?? Tolong jawab. Soalnya ad yg nyimpan nomerku pke nama yg gak q suka,1,Negatif
Afief Arjun,"Kurang komplit dan kompeten, masa harus bayar sih 😏😏",2,Negatif
Papah Wishnew,Banyak membantu mana penipu dan mana yg bukan penipu,5,Positif
Gosa He,"Membantu mengetahui nama kontak di masing2 handphone, god bless you developer",5,Positif
Mukti Adji,Ada salah satu nomer yg saya blok kok masih bisa liat tag ku tiap hari.. aneh bener aplikasi ini,1,Negatif
Risayunika Prasasti,Mantap bisa melihat nomor yang tidak di kenal spamm,5,Positif
Vinda-D3 Keperawatan,Udah langganan lama kenapa sekarang ada tafif segala macam. Kenapa tidak diambil dari paket internet sajaa. Kecewa banget sama getcontact sekarang,1,Negatif
zeni sticker kaca film,APLIKASI APAAN NGGA JELAS !!!!!!!!,1,Negatif
fitria sari,Gak asik ko malah jd harus prabayar,1,Negatif
Tyan Agus Prasetyo,"Ini kok malah lag dan bikin hp hank sihh, anehh",1,Negatif
Asriana Amin,Get contqct pliss ilangin fitur buat yg kalau nomorkita di cek tuh gak bisa... gw jadi gak bisa ngecek nomor penipu..,2,Negatif
Nur Hikma,Karna baru ngecek kontak teman ku 78 langsung belli mana ga punya duit lagi j😞 aplikasih nya sangat jelek sumpah baru juga sudah di downloat langsug iklang padahal gue butuh banget tapi lama ' ngeseli ni aplikasih ga ada bagus bagus nya 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,1,Negatif
Putri Pute,Aplikasinya sangat bagus dan sangat membantu,5,Positif
aditio sagito,Oke banget nih.. bermanfaat jd lebih membantu,5,Positif
RAHMAT KURNIA,Ini aplikasi dpt dipercaya.. Bagus banget.. Sy banyak tertolong oleh aplikasi ini...,5,Positif
Restiady Ridwan,"Aplikasi yang sangat bagus, sangat berguna, amazing",5,Positif
Arief Ucing,Tidak bisa login,1,Negatif
Erwin Hadiyantoro,Bulan ini Berlangganan premium karena dapat promo gratis sebulan premium. Tapi sekarang sudah berlangganan dibayar shopeepay tetep aja gk beda sama yang gratisan. Jgn pernah coba berlangganan deh. Rugiiiiiiii....,1,Negatif
Rieka Novitri,Berharap bisa melacak nomor international juga,5,Positif
Nadi Galatia,"Sangat bagus dan bermanfaat , trimaksih",5,Positif
Aswin Syaferial,"nge hang terus sekarang. dibuka loading, blank screen, balik home. notif app error. haduh... untung blm langganan",1,Negatif
Iskandar Shark[GGL],"Apliaksi yang sangat meresahkan, katanya bisa lihat langsung org yg telah di save, tapi kok yang ada hanya verifikasi yang gagal, apakah ini aplikasi fake? Atau cuma untuk mainan? Coba perbaiki lagi dong, biar verifikasi nya tidak EROR!!",1,Negatif
Mulyono,Membantu siapa penelpon yg belum tersimpan dan memblokir spam,5,Positif
Dina Kubar,Maap ya aku cuman gak suka nya sering iklan dan pas ditengok malah tarif kan itu tidak sesuai sama yang di foto aplikasi nya ih kesel dah nyesel bgt mendingan jangan deh di download ya tapi maap bgt aku kasih segitunya ya 😭😒😁😩,1,Negatif
Maria Luciana,Membantu dalam menyortir telpon spam dan penipuan berkedok apapun.,5,Positif
7 Noel Creativity,"Jujur sejauh ini bagus banget, terutama kalo ditelpon atau di kontak sama nmr yang tidak dikenal. Ketahuan banget jadinya penipu sama spam.",5,Positif
Ozzy Sahroji,Ok membantu bgt. Pokok y mantap,5,Positif
Tiyar Sugandi,Komennya tidak sesuai ga bisa di hpus membuat nama tercemar komentar nya juga sangat jelek,1,Negatif
Elesconindo Cv,Bagus..buat melihat. Status seseorang,5,Positif
Willy Kristan eppang,Aplikasi ini sangat berguna bagi orang yang sering ditipu,5,Positif
Muh Fatih al qadry,"Aplikasi yang sangat-sangat berguna, dapat membantu kita terhindar dari telpon random dan penipuan",5,Positif
Dapur Hana,Verifikasi nomor nya kyk tele susah bnr apk gx jelas!!!,1,Negatif
M Yulies,Bagus jika ada no asing nampak namanya,5,Positif
Riskiaputri,"Hy slken sy Marsha, apk getcontact ini bagus bangett kalian wajib download ya",5,Positif
Yan Dian,apk gajelas pas verifikasi telpon nya diangkat malah dimatiin,1,Negatif
Deri Dermawan Syah,Mntp sangat membatu untuk nomor yang tidak di kenal...,5,Positif
Dede Rina,Sangat membantu sekli,5,Positif
Dewi Pratiwi,Sangat membantu untuk tau penelpon siapa🤭🤭,5,Positif
Etie Rarung,Getcontak sangat membantu sy dlm hal mengenali telpon yg masuk yg bisa diangkat dan atau tdk mesti diangkat.,5,Positif
serly fairish,"Membantu sekali, biar tau siapa yg sering kepo",5,Positif
Muhammad Ariyanto,Membantu banget ini aplikasi untuk mengetahui nomer asing dengan ada review dari orang lain,4,Positif
Fred,"Mantap aplikasi, gw jadi tau siapa nomor penipu, dan nomor kawan, terima kasih getcontact",5,Positif
Yul Afnedi,Sangat terbantu dengan aplikasi getcontact,5,Positif
Yuda Arifki,"Get contact sekarang jadi rusak, masa di buat login aja gk bisa kemudian force close terus. mohon di perbaiki dong",1,Negatif
Zerlina Lina,"apaan sih astagaaa, conection eror mulu, gwe liat tiktok, wa, ig, lancar lancar aja ini kok?",1,Negatif
Sulaeman,Saya instal aplikasi getcontact tapi tidak bisa di buka jadi mohon di jelaskan,2,Negatif
Ayu Mawarni Surbakti (Ayza),"Kenapa sudah diupgrade dan berlanganan, mau lihat tagar kontak ajah pakek bayar dan langganan lagi, makin gak beres aplikasiNya, sudah bayar jugak bagusNya gak ada aplNya..",2,Negatif
Tya Endul,Mau daftar premium kenapa gabisa2 yaa?,1,Negatif
Taslam Al,"Apliksinya jelek, bikin emosi, sdh login mau 10 tk bisa2, jelek sekali, sangat jlek",1,Negatif
Mulya Diiyna29,Ini app apaan si masuk gabisa padahal email udh diverifikasi berkali2 bodoh bgt ini aplikasi,1,Negatif
Nurlian 97,"Aplikasi jelek, TDK bisa login",1,Negatif
MR Atfal,Butuh bayar agar bisa berfungsi,2,Negatif
Rondiyah Hidayati,Sangat membantu jadi tau siapa saja yang kepo dengan kita,1,Negatif
Ipin M.A,"masa buka tag doang harus kena tarif sih kan ribet min,",1,Negatif
Yukimaru Nara,"Kecewa beneran. Bukan nya verikasi ke whatsapp yang biasa ini mlh ke whatsapp gb, mulai pake metode verikasi lain, bisa pake nomor yg langsung ke whatsapp biasa tapi malah error. Lama pula nunggu, udh beda gak kaya dulu langsung masuk, kecewa banget di verifikasi nya.",1,Negatif
Fitri Finja,Kurang ajar banget aplikasi ini. Mau berenti berlangganan ngak boleh. Pulsa aku habis di rampar. Aplikasi sial.,1,Negatif
Akboy Jon,Aplikasi nya gajelas bikin ribet gabisa verifikasi,1,Negatif
Ludiro Mei Puspo Dwi Kurniawan,Krng bagus harusnya full tanpa ada masa aktif,2,Negatif
Rayleigh Silver,"Aplikasi sampah, buat daftar aja susah bet kesalahan server internal terus gabisa masuk.",1,Negatif
Gema Saputra,Banyak bug nya,1,Negatif
Vabian Barkes,"Notifnya suka gajelas. Sering ada notif ""nomor anda sudah dicari sebanyak 1 kali hari ini"", pas dibuka malah ga ketauan siapa yg stalk, pdhl udh pake premium",1,Negatif
Andi Cahyono,padahal sy sdh verifikasi gmail ttp gk bisa masuk👎,1,Negatif
Ran Falcao,Login nya lama!¡,2,Negatif
aditya suprajogi,Mau berhenti langganan dan ganti device gak bisa,1,Negatif
15. Kamil Sabili Hamidi - NIM. 2232,"Untuk mencari kontak hanya dengan uji coba beberapa kali saja, kalau maw cari kontak selamanya harus berbayar, dasar apk g guna",1,Negatif
Eva Vebriyana,Knp ga bs login ya? Mw yg ngelink ke WA tp ga bs2,2,Negatif
Ishqa' Nabawhy,"Login ribet banget, berniat banget akses pake whatsapp",1,Negatif
Akhmad Nur Qoyum,Kenapa tidak bisa melihat log panggilan pada nomor pencarian ya?,1,Negatif
Who's Lia?,"Ketika saya ingin mendaftarkan nomor saya ke getcontact , mengapa saat loading balik lagi di tempat untuk masuk/daftar? Saya mengulangi sudah beberapa menit.",1,Negatif
G M T,Belum bisa cara menggunakan ya belum bisa memberi nilaai,2,Negatif
raharjeng martasiwi,"Gak bisa masa, tolong di benerin lagi aplikasi :(",1,Negatif
Gamer Bocil,"Tidak sesuai, iklan terus jelek",1,Negatif
Rido Agusti,Wahh aplikasi nya mantep bisa tau nama kita,1,Negatif
Giselda 1231,"Masa dikasih dibatasi dikit , katanya bisa lacak penipu ya gimana kalo dibatasi nya habis kalau bayar juga percuma orang di kasihnya di dikit",1,Negatif
Akhirudin Nanang,Awalnya sih bagus terus malah di suruh berlangganan dan berhamburan iklan👎mending gw buang dah aplikasi ngk mutu👎,1,Negatif
JIE GALE,"Saya sudah berhenti berlangganan, tapi di kartu kredit masih ada tagian tiap bulan di zotlo get contac istanbul, parah , tolong di carikan solusi nya agar tidak ada tagihan",1,Negatif
LUCKYALAMSYAH LUCKY,Cuma kasih 2 bintang.. itu bru belakar makai aplikasi ini,2,Negatif
Ahmadi Basri,"Nihhhh apk makin gak jelas aja, nge stuck verifikasi mulu",1,Negatif
Firmansyah iskandar,Tidak bisa langganan,1,Negatif
Saputra Ardiansyah,"Saya harap aplikasi ini di hapus,karena semua orang memiliki privasi",1,Negatif
Dot's Classic,tidak ada panggilan verifikasi,1,Negatif
Nafis Harun,untuk login aja susah,1,Negatif
Widya Natasha,"Rusak apk nya, gak bisa login. Verifikasi panggilan setelah dua detik langsung auto reject, pusing deh",1,Negatif
Biantga Ali,"Jangan didownload,saldo e-money saya tiba tiba berkurang, setelah dicek transaksi ke getcontact padahal saya tidak melakukan transaksi apapun",1,Negatif
Cuy Motorider,Aplikasi apaan gak jelas berifikasi aja gak bisa,1,Negatif
GIAD FHARGHATRAY,Ini Aplikasi penyedot Rek. Dana... Gak pernah beli kok langsung main potong secara otomatis dr rekening Dana... Lebih baik gak usah di Instal... Aplikasi Anjiiiiiimmm.....,1,Negatif
Badar Channel,Ngerusak nama dan reputasi orang!!! Aplikasi seperti ini harusnya tidak ada.. karena orang bisa seenaknya memfitnah dab menjelek2 kan dengan memberika. Tag seenaknya sehinggga merugikan orang yg di tag nya!!! Aplikasi sampah,1,Negatif
Adit,Terima kasih udah membuat ku overtingking.semoga bisa cepat membaik dan menjadi seperti biasanya,1,Negatif
Sonia Ratu Diary,Saya sudah berbayar dan meningkatkan menjadi premium sudah bayar (Anda sukses membeli Getverify LDA - Getcontact New Premium (Getcontact) di Google Play harga Rp. 36374.70 (termasuk PPN&biaya jasa)Tarif data berlaku normal.CS:188) tp saat cek nomor malah minta tarif lagi. Bagaimana ini solusinya?,1,Negatif
Hwm Hmm,"""internet connection has required"", selalu muncul, padahal koneksi internet bagus, streaming lancar, mohon diperbaiki.",1,Negatif
Rizky Budiman,Jadi berbayar ya skrng dulu mah ngga berbayar,1,Negatif
Gede Rentika,Pas cek kontak...namanya gak sesuai dan tagnya juga beda...,1,Negatif
Wandy Rassning Tiyas,Tidak bisa digunakan & selalu minta verifikasi,1,Negatif
agus putra,Semua berbayar.gak guna sih,1,Negatif
NUR SYAM RIZQI NUGROHO,Mohon segera ditindaklanjuti Saat saya verifikasi melalui telepon selalu gagal dan tolong tambahkan fitur kirim pesan saja saat verifikasi,1,Negatif
